acertar,hit
afiado,sharp
água,water
algum,some
alguns,few
ali,there
alí,there
amarelo,yellow
amarrar,tie
andar,walk
animal,animal
Animal,animal
ano,year
apagar,wipe
apertar,squeeze
apunhalar,stab
aquela,that
aquele,that
aqui,here
aquilo,that
arder,burn
areia,sand
arranhar,scratch
árvore,tree
asa,wing
atar,tie
atingir,hit
atirar,throw
através,throw
ave,bird
barriga,belly
bater em,hit
bater,hit
beber,drink
boca,mouth
bom,good
bom,swell
branco,white
brincar,play
cabeça,head
cabelo,hair
caçar,hunt
cachorro,dog
cair,fall
cantar,sing
cão,dog
carne,meat
casca,bark
cauda,tail
cavar,dig
cegar,dull
cego,dull
certo,correct
céu,sky
cheio,full
cheirar,smell
chifre,horn
chover,rain
chupar,suck
chuva,rain
cinco,five
cinza,ashes
cinzas,ashes
cobra,snake
coçar,scratch
comer,eat
como,how
comprido,long
com,with
congelar,freeze
contar,count
coração,heart
corda,rope
corno,horn
correr,flow
correto,correct
correto,straight
cortar,cut
coser,sew
costas,back
costurar,count
costurar,sew
criança,child
curto,short
cuspir,spit
cuspir,split
dar,give
deitar-se,lie
dente,tooth
dentro,in
desamolado,dull
desamolar,dull
dia,day
direita,right
direito,right
direito,straight
dizer,say
dois,two
dormir,sleep
duas,two
e,and
elas,they
ele,he
eles,they
em,at
embotado,dull
em,in
empate,tie
empurrar,push
entranhas,guts
erva,grass
esfaquear,stab
esfregar,rub
espesso,thick
espetar,stab
esposa,wife
espremer,squeeze
esquerda,left
esquerdo,left
essa,this
esse,this
estar deitado,lie
estar de pé,stand
estar sentado,sit
esta,this
este,this
estourar,blow
estrada,road
estreito,narrow
estrela,star
eu,I
explodir,blow
falar,say
fender,split
ficar de pé,stand
fígado,liver
fino,thin
floresta,forest
flor,flower
fluir,flow
flutuar,float
fogo,fire
folha,leaf
frio,cold
fruta,fruit
fruto,fruit
fumaça,smoke
fumar,smoke
fumo,smoke
gelar,freeze
gelo,ice
gordura,fat
grama,grass
grande,big
grosso,thick
hetero,straight
homem,man
inchar,swell
isso,this
isto,this
joelho,knee
jogar,play
lago,lake
largo,wide
lá,there
latido,bark
latir,bark
lavar,wash
legal,swell
limpar,wipe
língua,tongue
liso,smooth
longe,far
longo,long
lua,moon
Lua,moon
luta,fight
lutar,fight
má,bad
macio,smooth
mãe,mother
magro,thin
mama,breast
mão,hand
marido,husband
mar,sea
matar,kill
mau,bad
medo,fear
mentira,lie
mentir,lie
minhoca,worm
molhado,wet
montanha,mountain
morder,bite
morrer,die
muito,many
muitos,many
mulher,wife
mulher,woman
na,at
nadar,swim
não,not
nariz,nose
neblina,fog
negro,black
neve,snow
névoa,fog
nevoeiro,fog
no,at
noite,night
nome,name
nós,we
novo,new
nuvem,cloud
olho,eye
onde,where
o que,what
orelha,ear
osso,bone
outra,other
outro,other
ouvir,hear
ovo,egg
pai,father
partir,split
pássaro,bird
pau,stick
pedra,stone
pé,foot
peito,breast
peixe,fish
pele,skin
pena,feather
pensar,think
pequeno,short
pequeno,small
perna,leg
perto,near
pesado,heavy
pescoço,neck
pessoa,person
piolho,louse
pluma,feather
podre,rotten
pó,dust
poeira,dust
porque,because
pouco,few
poucos,few
preto,black
próximo,near
puxar,pull
quando,when
quatro,four
queimadura,burn
queimar,burn
quem,who
quente,warm
que,what
rabo,tail
raiz,root
redondo,round
respirar,breathe
reto,straight
rio,river
rir,laugh
ruim,bad
saber,know
sal,salt
sangue,blood
seco,dry
segurar,hold
se,if
seio,breast
semente,seed
sentar-se,sit
sentar,sit
serpente,snake
sol,sun
Sol,sun
sombrio,dull
soprar,blow
sujo,dirty
temer,fear
ter medo,fear
terra,earth
todo,all
todos,all
tórax,breast
três,three
tripas,guts
tu,thou
tu,you
um,one
unha,fingernail
velho,old
vento,wind
ventre,belly
verde,green
vermelho,red
verme,worm
ver,see
virar,turn
vir,come
viver,live
voar,fly
você,you
vomitar,vomit
vós,thou
vós,you
